Location,ID
"18914, Pennsylvania, United States",9007181
"18938, Pennsylvania, United States",9007195
"18944, Pennsylvania, United States",9007198
"19320, Pennsylvania, United States",9007343
"19330, Pennsylvania, United States",9007344
"19343, Pennsylvania, United States",9007350
"19344, Pennsylvania, United States",9007351
"19390, Pennsylvania, United States",9007368
"19425, Pennsylvania, United States",9007376
"19438, Pennsylvania, United States",9007382
"19440, Pennsylvania, United States",9007383
"19446, Pennsylvania, United States",9007386
"19473, Pennsylvania, United States",9007396
"28730, North Carolina, United States",9010281
"89412, Nevada, United States",9030854
"Ajax, Ontario, Canada",1002156
"Alabama, United States",21133
"Alaska, United States",21132
"Alberta, Canada",20113
"Alleghany County, North Carolina, United States",9058790
"Anderson County, Texas, United States",9059406
Anguilla,2660
"Angus, Ontario, Canada",1002163
"Arizona, United States",21136
"Arkansas, United States",21135
Aruba,2533
"Barrie, Ontario, Canada",1002175
"Beaufort County, North Carolina, United States",9058794
Bermuda,2060
"Bertie County, North Carolina, United States",9058795
"Bladen County, North Carolina, United States",9058796
"Bowie County, Texas, United States",9059424
"Bowmanville, Ontario, Canada",1002188
"Bradford West Gwillimbury, Ontario, Canada",9047850
"Brampton, Ontario, Canada",1002191
"Brazoria County, Texas, United States",9059425
"Brevard County, Florida, United States",1014966
British Virgin Islands,2092
"Broward County, Florida, United States",1014969
"Brunswick County, North Carolina, United States",9058797
"Buncombe County, North Carolina, United States",1021025
Burkina Faso,2854
"Burlington, Ontario, Canada",1002197
"Burnaby, British Columbia, Canada",1001873
"Caicos Islands, Turks and Caicos Islands",9070244
"California, United States",21137
"Camden County, North Carolina, United States",9058801
"Camp County, Texas, United States",9059437
"Cass County, Texas, United States",9059439
"Caswell County, North Carolina, United States",9058803
Cayman Islands,2136
"Charlotte NC, United States",200517
"Cherokee County, Texas, United States",9059442
"Chowan County, North Carolina, United States",9058807
"Clarington, Ontario, Canada",9212218
"Collier County, Florida, United States",9057256
"Colorado, United States",21138
"Columbus County, North Carolina, United States",9058810
"Connecticut, United States",21139
"Courtice, Ontario, Canada",1002234
"Craven County, North Carolina, United States",9058811
"Currituck County, North Carolina, United States",9058813
"Cuyahoga County, Ohio, United States",9058953
"Dare County, North Carolina, United States",1021078
"Davidson County, North Carolina, United States",9058814
"Davie County, North Carolina, United States",9058815
"Defiance County, Ohio, United States",9058954
"Delaware, United States",21141
"Delta County, Texas, United States",9059465
"Dublin, California, United States",1013740
"Duplin County, North Carolina, United States",9058816
"Edgecombe County, North Carolina, United States",9058818
Egypt,2818
"Ellis County, Texas, United States",9059476
"Erie County, Ohio, United States",9058956
"Esquimalt, British Columbia, Canada",9104975
"Etobicoke, Ontario, Canada",1002260
"Fannin County, Texas, United States",9059479
"Florida, United States",21142
"Forsyth County, North Carolina, United States",1021112
"Fort Bend County, Texas, United States",9059484
"Franklin County, Texas, United States",9059485
French Guiana,2254
"Fulton County, Ohio, United States",9058960
"Galveston County, Texas, United States",9059489
"Gates County, North Carolina, United States",9058821
"George Town, Penang, Malaysia",1010262
"Georgia, United States",21143
"Georgina, Ontario, Canada",9047876
"Glades County, Florida, United States",9057266
"Golden, British Columbia, Canada",1001900
"Grand Forks, British Columbia, Canada",1001901
"Greene County, North Carolina, United States",9058824
Greenland,2304
"Greensboro, North Carolina, United States",1021129
"Grimsby, Ontario, Canada",1002282
Guadeloupe,2312
"Guilford County, North Carolina, United States",9058825
Guinea-Bissau,2624
"Halifax County, North Carolina, United States",9058826
"Hamilton, Ontario, Canada",1002287
"Hancock County, Ohio, United States",9058966
"Harris County, Texas, United States",9059506
"Hawaii, United States",21144
"Henderson County, North Carolina, United States",9058829
"Henderson County, Texas, United States",9059512
"Henry County, Ohio, United States",9058969
"Hertford County, North Carolina, United States",9058830
"Hoke County, North Carolina, United States",9058831
Hong Kong,2344
"Hopkins County, Texas, United States",9059517
"Hunt County, Texas, United States",9059521
"Huron County, Ohio, United States",9058973
"Hyde County, North Carolina, United States",9058832
"Idaho, United States",21146
"Illinois, United States",21147
"Indian River County, Florida, United States",9057275
"Indiana, United States",21148
"Innisfil, Ontario, Canada",1002298
"Iowa, United States",21145
"Jefferson County, Texas, United States",9059528
"Jones County, North Carolina, United States",9058836
Jordan,2400
"Kansas, United States",21149
"Kaufman County, Texas, United States",9059534
"Kentucky, United States",21150
Kenya,2404
Kosovo,2900
Kuwait,2414
Kyrgyzstan,2417
"L0B 1B0, Ontario, Canada",9219822
"L0B 1J0, Ontario, Canada",9207805
"L0B 1M0, Ontario, Canada",9208516
"L0B, Ontario, Canada",9000733
"L0G 1A0, Ontario, Canada",9193861
"L0G 1W0, Ontario, Canada",9209777
"L0H 1A0, Ontario, Canada",9220078
"L0H 1H0, Ontario, Canada",9210976
"L0H 1M0, Ontario, Canada",9221128
"L0L 1K0, Ontario, Canada",9212188
"L0L 1L0, Ontario, Canada",9207636
"L0L 1N0, Ontario, Canada",9216068
"L0L 1P0, Ontario, Canada",9209259
"L0L 1V0, Ontario, Canada",9207070
"L0L 1X0, Ontario, Canada",9214369
"L0L 1X1, Ontario, Canada",9221100
"L0L 1Y0, Ontario, Canada",9222371
"L0L 1Y2, Ontario, Canada",9221332
"L0L 1Y3, Ontario, Canada",9208421
"L0L 2K0, Ontario, Canada",9216265
"L0L 2L0, Ontario, Canada",9220120
"L0L, Ontario, Canada",9000740
"L0M 1B1, Ontario, Canada",9213979
"L0M 1J0, Ontario, Canada",9221298
"L0M 1M0, Ontario, Canada",9222527
"L0M 1N0, Ontario, Canada",9207802
"L0M 1S0, Ontario, Canada",9210752
"L0M 1T0, Ontario, Canada",9211449
"L0M 1T2, Ontario, Canada",9222697
"L0M, Ontario, Canada",9000741
"L1B 1L9, Ontario, Canada",9209748
"L1C 3K6, Ontario, Canada",9212523
"L1C, Ontario, Canada",9000748
"L1E, Ontario, Canada",9000749
"L1G, Ontario, Canada",9000750
"L1H 7K4, Ontario, Canada",9194803
"L1H 7K5, Ontario, Canada",9193315
"L1H 8L7, Ontario, Canada",9212609
"L1H, Ontario, Canada",9000751
"L1J, Ontario, Canada",9000752
"L1K, Ontario, Canada",9000753
"L1M, Ontario, Canada",9000755
"L1N, Ontario, Canada",9000756
"L1P, Ontario, Canada",9000757
"L1R, Ontario, Canada",9000758
"L1T, Ontario, Canada",9000760
"L1Y, Ontario, Canada",9000764
"L1Z, Ontario, Canada",9000765
"L3Y 4V9, Ontario, Canada",9212567
"L3Z 2A4, Ontario, Canada",9190058
"L3Z 2A5, Ontario, Canada",9193516
"L3Z 2A6, Ontario, Canada",9221803
"L3Z, Ontario, Canada",9000790
"L4M 4Y8, Ontario, Canada",9209421
"L4M, Ontario, Canada",9000800
"L4N, Ontario, Canada",9000801
"L9J, Ontario, Canada",9067854
"L9L 1B4, Ontario, Canada",9217580
"L9L 1B5, Ontario, Canada",9213418
"L9R 1V1, Ontario, Canada",9209576
"L9R 1V2, Ontario, Canada",9213977
"L9R 1V3, Ontario, Canada",9211444
"L9S, Ontario, Canada",9000886
"Lake Country, British Columbia, Canada",9104604
"Lamar County, Texas, United States",9059545
Laos,2418
Latvia,2428
Lebanon,2422
"Lee County, Florida, United States",9057279
"Lenoir County, North Carolina, United States",9058838
Liberia,2430
Libya,2434
Liechtenstein,2438
Lithuania,2440
"London, Ontario, Canada",1002325
"Lorain County, Ohio, United States",9058980
"Louisiana, United States",21151
"Lucas County, Ohio, United States",9058981
Luxembourg,2442
