Campaign,Ad Schedule
MOV | Search | Brand | EN,"Monday, 00:00, 24:00"
MOV | Search | Brand | EN,"Tuesday, 00:00, 24:00"
MOV | Search | Brand | EN,"Wednesday, 00:00, 24:00"
MOV | Search | Brand | EN,"Thursday, 00:00, 24:00"
MOV | Search | Brand | EN,"Friday, 00:00, 24:00"
MOV | Search | Brand | EN,"Saturday, 00:00, 24:00"
MOV | Search | Brand | EN,"Sunday, 00:00, 24:00"
MOV | Search | Local Moving | EN,"Monday, 07:00, 19:00"
MOV | Search | Local Moving | EN,"Tuesday, 07:00, 19:00"
MOV | Search | Local Moving | EN,"Wednesday, 07:00, 19:00"
MOV | Search | Local Moving | EN,"Thursday, 07:00, 19:00"
MOV | Search | Local Moving | EN,"Friday, 07:00, 19:00"
MOV | Search | Local Moving | EN,"Saturday, 08:00, 17:00"
MOV | Search | Long Distance | EN,"Monday, 07:00, 22:00"
MOV | Search | Long Distance | EN,"Tuesday, 07:00, 22:00"
MOV | Search | Long Distance | EN,"Wednesday, 07:00, 22:00"
MOV | Search | Long Distance | EN,"Thursday, 07:00, 22:00"
MOV | Search | Long Distance | EN,"Friday, 07:00, 22:00"
MOV | Search | Long Distance | EN,"Saturday, 08:00, 20:00"
MOV | Search | Commercial | EN,"Monday, 07:00, 19:00"
MOV | Search | Commercial | EN,"Tuesday, 07:00, 19:00"
MOV | Search | Commercial | EN,"Wednesday, 07:00, 19:00"
MOV | Search | Commercial | EN,"Thursday, 07:00, 19:00"
MOV | Search | Commercial | EN,"Friday, 07:00, 19:00"
MOV | Search | Commercial | EN,"Saturday, 08:00, 17:00"
