Campaign,Ad Group,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
MOV | Search | Brand | EN,Brand | Exact,Responsive search ad,Redline Moving,Redline Moving | Official,Official Site,Book Redline Moving Today,Call +1 416 555 0134,Free in-home estimate,Licensed & Insured,Get Your Free Quote,,,,,,,,The official site for Redline Moving. Call +1 416 555 0134 for a same-day answer.,"Licensed, insured and local. Speak to the crew that does the work, not a call centre.","$450 minimum. No hidden fees, no surprise charges on moving day.",,,,https://redlinemoving.example/,Paused
MOV | Search | Local Moving | EN,Movers | Toronto,Responsive search ad,Movers in Toronto,Toronto Moving Company,"Local Movers, Toronto",Free in-home estimate,Licensed & Insured,No Hidden Fees,"Same Crew, Start to End",Call +1 416 555 0134,Book Your Move Today,$450 minimum,,,,,,"Local moves across Toronto, done by our own crew. Call +1 416 555 0134.","Flat, honest pricing. $450 minimum. Nothing added on moving day.","Licensed and insured Toronto movers. Book in minutes, move this week.","Ask for a written quote before you book. No deposit, no obligation.",movers,Toronto,https://redlinemoving.example/local-movers,Paused
MOV | Search | Local Moving | EN,Movers | Mississauga,Responsive search ad,Movers in Mississauga,Mississauga Moving Company,"Local Movers, Mississauga",Free in-home estimate,Licensed & Insured,No Hidden Fees,"Same Crew, Start to End",Call +1 416 555 0134,Book Your Move Today,$450 minimum,,,,,,"Local moves across Mississauga, done by our own crew. Call +1 416 555 0134.","Flat, honest pricing. $450 minimum. Nothing added on moving day.","Licensed and insured Mississauga movers. Book in minutes, move this week.","Ask for a written quote before you book. No deposit, no obligation.",movers,Mississauga,https://redlinemoving.example/local-movers,Paused
MOV | Search | Local Moving | EN,Movers | Vaughan,Responsive search ad,Movers in Vaughan,Vaughan Moving Company,"Local Movers, Vaughan",Free in-home estimate,Licensed & Insured,No Hidden Fees,"Same Crew, Start to End",Call +1 416 555 0134,Book Your Move Today,$450 minimum,,,,,,"Local moves across Vaughan, done by our own crew. Call +1 416 555 0134.","Flat, honest pricing. $450 minimum. Nothing added on moving day.","Licensed and insured Vaughan movers. Book in minutes, move this week.","Ask for a written quote before you book. No deposit, no obligation.",movers,Vaughan,https://redlinemoving.example/local-movers,Paused
MOV | Search | Local Moving | EN,Movers | Markham,Responsive search ad,Movers in Markham,Markham Moving Company,"Local Movers, Markham",Free in-home estimate,Licensed & Insured,No Hidden Fees,"Same Crew, Start to End",Call +1 416 555 0134,Book Your Move Today,$450 minimum,,,,,,"Local moves across Markham, done by our own crew. Call +1 416 555 0134.","Flat, honest pricing. $450 minimum. Nothing added on moving day.","Licensed and insured Markham movers. Book in minutes, move this week.","Ask for a written quote before you book. No deposit, no obligation.",movers,Markham,https://redlinemoving.example/local-movers,Paused
MOV | Search | Long Distance | EN,Long Distance | Toronto,Responsive search ad,Long Distance Movers,Moving Out of Toronto?,Cross Country Movers,Free In-Home Estimate,"Written Quote, No Deposit",Licensed & Insured,"One Crew, Door to Door",Call +1 416 555 0134,Plan Your Move Early,,,,,,,"Moving far from Toronto? Get a written, all-in quote before you commit.",One crew loads and unloads. Your things are never transferred between trucks.,"Licensed, insured and tracked door to door. Call +1 416 555 0134 to book a survey.",Free in-home estimate. Book weeks ahead and lock your date and your price.,long-distance,movers,https://redlinemoving.example/long-distance,Paused
MOV | Search | Long Distance | EN,Long Distance | Mississauga,Responsive search ad,Long Distance Movers,Moving Out of Mississauga?,Cross Country Movers,Free In-Home Estimate,"Written Quote, No Deposit",Licensed & Insured,"One Crew, Door to Door",Call +1 416 555 0134,Plan Your Move Early,,,,,,,"Moving far from Mississauga? Get a written, all-in quote before you commit.",One crew loads and unloads. Your things are never transferred between trucks.,"Licensed, insured and tracked door to door. Call +1 416 555 0134 to book a survey.",Free in-home estimate. Book weeks ahead and lock your date and your price.,long-distance,movers,https://redlinemoving.example/long-distance,Paused
MOV | Search | Long Distance | EN,Long Distance | Vaughan,Responsive search ad,Long Distance Movers,Moving Out of Vaughan?,Cross Country Movers,Free In-Home Estimate,"Written Quote, No Deposit",Licensed & Insured,"One Crew, Door to Door",Call +1 416 555 0134,Plan Your Move Early,,,,,,,"Moving far from Vaughan? Get a written, all-in quote before you commit.",One crew loads and unloads. Your things are never transferred between trucks.,"Licensed, insured and tracked door to door. Call +1 416 555 0134 to book a survey.",Free in-home estimate. Book weeks ahead and lock your date and your price.,long-distance,movers,https://redlinemoving.example/long-distance,Paused
MOV | Search | Long Distance | EN,Long Distance | Markham,Responsive search ad,Long Distance Movers,Moving Out of Markham?,Cross Country Movers,Free In-Home Estimate,"Written Quote, No Deposit",Licensed & Insured,"One Crew, Door to Door",Call +1 416 555 0134,Plan Your Move Early,,,,,,,"Moving far from Markham? Get a written, all-in quote before you commit.",One crew loads and unloads. Your things are never transferred between trucks.,"Licensed, insured and tracked door to door. Call +1 416 555 0134 to book a survey.",Free in-home estimate. Book weeks ahead and lock your date and your price.,long-distance,movers,https://redlinemoving.example/long-distance,Paused
MOV | Search | Commercial | EN,Office Movers | Toronto,Responsive search ad,"Office Movers, Toronto",Commercial Moving Co.,Move After Hours,Zero Downtime Moves,Licensed & Insured,Get a Site Survey,Call +1 416 555 0134,Written Fixed Quote,,,,,,,,"Office and commercial moves across Toronto, run outside your working hours.","Site survey first, fixed written quote second. No day-of surprises.","Licensed and insured, with certificates of insurance for your building.",Call +1 416 555 0134 to book a survey and get your move planned this week.,commercial,movers,https://redlinemoving.example/commercial,Paused
MOV | Search | Commercial | EN,Office Movers | Mississauga,Responsive search ad,"Office Movers, Mississauga",Commercial Moving Co.,Move After Hours,Zero Downtime Moves,Licensed & Insured,Get a Site Survey,Call +1 416 555 0134,Written Fixed Quote,,,,,,,,"Office and commercial moves across Mississauga, run outside your working hours.","Site survey first, fixed written quote second. No day-of surprises.","Licensed and insured, with certificates of insurance for your building.",Call +1 416 555 0134 to book a survey and get your move planned this week.,commercial,movers,https://redlinemoving.example/commercial,Paused
MOV | Search | Commercial | EN,Office Movers | Vaughan,Responsive search ad,"Office Movers, Vaughan",Commercial Moving Co.,Move After Hours,Zero Downtime Moves,Licensed & Insured,Get a Site Survey,Call +1 416 555 0134,Written Fixed Quote,,,,,,,,"Office and commercial moves across Vaughan, run outside your working hours.","Site survey first, fixed written quote second. No day-of surprises.","Licensed and insured, with certificates of insurance for your building.",Call +1 416 555 0134 to book a survey and get your move planned this week.,commercial,movers,https://redlinemoving.example/commercial,Paused
