Campaign,Ad Group,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
MOV | Search | Brand | EN,Brand | Exact,Responsive search ad,Moving Papa,Moving Papa | Official,Official Site,Book Moving Papa Today,Call 833-351-1791,Free moving quote,Licensed & Insured,Get Your Free Quote,,,,,,,,The official site for Moving Papa. Call 833-351-1791 for a same-day answer.,"Licensed, insured and local. Speak to the crew that does the work, not a call centre.",". No hidden fees, no surprise charges on moving day.",,,,https://www.movingpapa.com/finalstep/residential,Paused
MOV | Search | Local Moving | EN,Movers | Toronto,Responsive search ad,Movers in Toronto,Toronto Moving Company,"Local Movers, Toronto",Free moving quote,Licensed & Insured,No Hidden Fees,"Same Crew, Start to End",Call 833-351-1791,Book Your Move Today,,,,,,,"Local moves across Toronto, done by our own crew. Call 833-351-1791.","Flat, honest pricing. Nothing added on moving day.","Licensed and insured Toronto movers. Book in minutes, move this week.","Ask for a written quote before you book. No deposit, no obligation.",movers,Toronto,https://www.movingpapa.com/service/residential,Paused
MOV | Search | Local Moving | EN,Movers | Vancouver,Responsive search ad,Movers in Vancouver,Vancouver Moving Company,"Local Movers, Vancouver",Free moving quote,Licensed & Insured,No Hidden Fees,"Same Crew, Start to End",Call 833-351-1791,Book Your Move Today,,,,,,,"Local moves across Vancouver, done by our own crew. Call 833-351-1791.","Flat, honest pricing. Nothing added on moving day.","Licensed and insured Vancouver movers. Book in minutes, move this week.","Ask for a written quote before you book. No deposit, no obligation.",movers,Vancouver,https://www.movingpapa.com/service/residential,Paused
MOV | Search | Local Moving | EN,Movers | Ottawa,Responsive search ad,Movers in Ottawa,Ottawa Moving Company,"Local Movers, Ottawa",Free moving quote,Licensed & Insured,No Hidden Fees,"Same Crew, Start to End",Call 833-351-1791,Book Your Move Today,,,,,,,"Local moves across Ottawa, done by our own crew. Call 833-351-1791.","Flat, honest pricing. Nothing added on moving day.","Licensed and insured Ottawa movers. Book in minutes, move this week.","Ask for a written quote before you book. No deposit, no obligation.",movers,Ottawa,https://www.movingpapa.com/service/residential,Paused
MOV | Search | Local Moving | EN,Movers | Calgary,Responsive search ad,Movers in Calgary,Calgary Moving Company,"Local Movers, Calgary",Free moving quote,Licensed & Insured,No Hidden Fees,"Same Crew, Start to End",Call 833-351-1791,Book Your Move Today,,,,,,,"Local moves across Calgary, done by our own crew. Call 833-351-1791.","Flat, honest pricing. Nothing added on moving day.","Licensed and insured Calgary movers. Book in minutes, move this week.","Ask for a written quote before you book. No deposit, no obligation.",movers,Calgary,https://www.movingpapa.com/service/residential,Paused
MOV | Search | Local Moving | EN,Movers | Edmonton,Responsive search ad,Movers in Edmonton,Edmonton Moving Company,"Local Movers, Edmonton",Free moving quote,Licensed & Insured,No Hidden Fees,"Same Crew, Start to End",Call 833-351-1791,Book Your Move Today,,,,,,,"Local moves across Edmonton, done by our own crew. Call 833-351-1791.","Flat, honest pricing. Nothing added on moving day.","Licensed and insured Edmonton movers. Book in minutes, move this week.","Ask for a written quote before you book. No deposit, no obligation.",movers,Edmonton,https://www.movingpapa.com/service/residential,Paused
MOV | Search | Long Distance | EN,Long Distance | Toronto,Responsive search ad,Long Distance Movers,Moving Out of Toronto?,Cross Country Movers,Free In-Home Estimate,"Written Quote, No Deposit",Licensed & Insured,"One Crew, Door to Door",Call 833-351-1791,Plan Your Move Early,,,,,,,"Moving far from Toronto? Get a written, all-in quote before you commit.",One crew loads and unloads. Your things are never transferred between trucks.,"Licensed, insured and tracked door to door. Call 833-351-1791 to book a survey.",Free moving quote. Book weeks ahead and lock your date and your price.,long-distance,movers,https://www.movingpapa.com/service/residential,Paused
MOV | Search | Long Distance | EN,Long Distance | Vancouver,Responsive search ad,Long Distance Movers,Moving Out of Vancouver?,Cross Country Movers,Free In-Home Estimate,"Written Quote, No Deposit",Licensed & Insured,"One Crew, Door to Door",Call 833-351-1791,Plan Your Move Early,,,,,,,"Moving far from Vancouver? Get a written, all-in quote before you commit.",One crew loads and unloads. Your things are never transferred between trucks.,"Licensed, insured and tracked door to door. Call 833-351-1791 to book a survey.",Free moving quote. Book weeks ahead and lock your date and your price.,long-distance,movers,https://www.movingpapa.com/service/residential,Paused
MOV | Search | Long Distance | EN,Long Distance | Ottawa,Responsive search ad,Long Distance Movers,Moving Out of Ottawa?,Cross Country Movers,Free In-Home Estimate,"Written Quote, No Deposit",Licensed & Insured,"One Crew, Door to Door",Call 833-351-1791,Plan Your Move Early,,,,,,,"Moving far from Ottawa? Get a written, all-in quote before you commit.",One crew loads and unloads. Your things are never transferred between trucks.,"Licensed, insured and tracked door to door. Call 833-351-1791 to book a survey.",Free moving quote. Book weeks ahead and lock your date and your price.,long-distance,movers,https://www.movingpapa.com/service/residential,Paused
MOV | Search | Long Distance | EN,Long Distance | Calgary,Responsive search ad,Long Distance Movers,Moving Out of Calgary?,Cross Country Movers,Free In-Home Estimate,"Written Quote, No Deposit",Licensed & Insured,"One Crew, Door to Door",Call 833-351-1791,Plan Your Move Early,,,,,,,"Moving far from Calgary? Get a written, all-in quote before you commit.",One crew loads and unloads. Your things are never transferred between trucks.,"Licensed, insured and tracked door to door. Call 833-351-1791 to book a survey.",Free moving quote. Book weeks ahead and lock your date and your price.,long-distance,movers,https://www.movingpapa.com/service/residential,Paused
MOV | Search | Long Distance | EN,Long Distance | Edmonton,Responsive search ad,Long Distance Movers,Moving Out of Edmonton?,Cross Country Movers,Free In-Home Estimate,"Written Quote, No Deposit",Licensed & Insured,"One Crew, Door to Door",Call 833-351-1791,Plan Your Move Early,,,,,,,"Moving far from Edmonton? Get a written, all-in quote before you commit.",One crew loads and unloads. Your things are never transferred between trucks.,"Licensed, insured and tracked door to door. Call 833-351-1791 to book a survey.",Free moving quote. Book weeks ahead and lock your date and your price.,long-distance,movers,https://www.movingpapa.com/service/residential,Paused
MOV | Search | Commercial | EN,Office Movers | Toronto,Responsive search ad,"Office Movers, Toronto",Commercial Moving Co.,Move After Hours,Zero Downtime Moves,Licensed & Insured,Get a Site Survey,Call 833-351-1791,Written Fixed Quote,,,,,,,,"Office and commercial moves across Toronto, run outside your working hours.","Site survey first, fixed written quote second. No day-of surprises.","Licensed and insured, with certificates of insurance for your building.",Call 833-351-1791 to book a survey and get your move planned this week.,commercial,movers,https://www.movingpapa.com/commercial,Paused
MOV | Search | Commercial | EN,Office Movers | Vancouver,Responsive search ad,"Office Movers, Vancouver",Commercial Moving Co.,Move After Hours,Zero Downtime Moves,Licensed & Insured,Get a Site Survey,Call 833-351-1791,Written Fixed Quote,,,,,,,,"Office and commercial moves across Vancouver, run outside your working hours.","Site survey first, fixed written quote second. No day-of surprises.","Licensed and insured, with certificates of insurance for your building.",Call 833-351-1791 to book a survey and get your move planned this week.,commercial,movers,https://www.movingpapa.com/commercial,Paused
MOV | Search | Commercial | EN,Office Movers | Ottawa,Responsive search ad,"Office Movers, Ottawa",Commercial Moving Co.,Move After Hours,Zero Downtime Moves,Licensed & Insured,Get a Site Survey,Call 833-351-1791,Written Fixed Quote,,,,,,,,"Office and commercial moves across Ottawa, run outside your working hours.","Site survey first, fixed written quote second. No day-of surprises.","Licensed and insured, with certificates of insurance for your building.",Call 833-351-1791 to book a survey and get your move planned this week.,commercial,movers,https://www.movingpapa.com/commercial,Paused
MOV | Search | Commercial | EN,Office Movers | Calgary,Responsive search ad,"Office Movers, Calgary",Commercial Moving Co.,Move After Hours,Zero Downtime Moves,Licensed & Insured,Get a Site Survey,Call 833-351-1791,Written Fixed Quote,,,,,,,,"Office and commercial moves across Calgary, run outside your working hours.","Site survey first, fixed written quote second. No day-of surprises.","Licensed and insured, with certificates of insurance for your building.",Call 833-351-1791 to book a survey and get your move planned this week.,commercial,movers,https://www.movingpapa.com/commercial,Paused
MOV | Search | Commercial | EN,Office Movers | Edmonton,Responsive search ad,"Office Movers, Edmonton",Commercial Moving Co.,Move After Hours,Zero Downtime Moves,Licensed & Insured,Get a Site Survey,Call 833-351-1791,Written Fixed Quote,,,,,,,,"Office and commercial moves across Edmonton, run outside your working hours.","Site survey first, fixed written quote second. No day-of surprises.","Licensed and insured, with certificates of insurance for your building.",Call 833-351-1791 to book a survey and get your move planned this week.,commercial,movers,https://www.movingpapa.com/commercial,Paused
